1 1:2 2:0.49 3:0.38 4:0.135 5:0.5415 6:0.2175 7:0.095 8:0.19
1 1:0 2:0.56 3:0.44 4:0.14 5:0.9285 6:0.3825 7:0.188 8:0.3
1 1:0 2:0.575 3:0.445 4:0.135 5:0.883 6:0.381 7:0.2035 8:0.26
1 1:2 2:0.57 3:0.48 4:0.175 5:1.185 6:0.474 7:0.261 8:0.38
1 1:0 2:0.545 3:0.41 4:0.125 5:0.6935 6:0.2975 7:0.146 8:0.21
1 1:2 2:0.56 3:0.455 4:0.155 5:0.797 6:0.34 7:0.19 8:0.2425
1 1:2 2:0.58 3:0.475 4:0.15 5:0.97 6:0.385 7:0.2165 8:0.35
1 1:0 2:0.505 3:0.41 4:0.15 5:0.644 6:0.285 7:0.145 8:0.21
1 1:0 2:0.445 3:0.355 4:0.15 5:0.485 6:0.181 7:0.125 8:0.155
1 1:0 2:0.58 3:0.465 4:0.165 5:1.1015 6:0.404 7:0.2095 8:0.35
1 1:0 2:0.46 3:0.38 4:0.13 5:0.639 6:0.3 7:0.1525 8:0.16
1 1:0 2:0.515 3:0.425 4:0.135 5:0.712 6:0.2665 7:0.1605 8:0.25
1 1:2 2:0.49 3:0.395 4:0.14 5:0.549 6:0.2215 7:0.1275 8:0.15
1 1:2 2:0.385 3:0.31 4:0.1 5:0.2845 6:0.1065 7:0.075 8:0.1
1 1:2 2:0.58 3:0.465 4:0.145 5:0.887 6:0.4405 7:0.1655 8:0.265
1 1:2 2:0.63 3:0.49 4:0.19 5:1.1775 6:0.4935 7:0.3365 8:0.285
1 1:2 2:0.585 3:0.455 4:0.15 5:0.987 6:0.4355 7:0.2075 8:0.31
1 1:2 2:0.555 3:0.45 4:0.145 5:0.915 6:0.4 7:0.246 8:0.285
1 1:1 2:0.49 3:0.38 4:0.12 5:0.529 6:0.2165 7:0.139 8:0.155
1 1:2 2:0.5 3:0.41 4:0.15 5:0.662 6:0.2815 7:0.137 8:0.22
1 1:2 2:0.575 3:0.47 4:0.14 5:0.8375 6:0.3485 7:0.1735 8:0.24
1 1:0 2:0.525 3:0.41 4:0.135 5:0.7085 6:0.293 7:0.1525 8:0.235
1 1:0 2:0.52 3:0.405 4:0.12 5:0.627 6:0.2645 7:0.1415 8:0.181
1 1:2 2:0.55 3:0.45 4:0.13 5:0.92 6:0.378 7:0.2385 8:0.29
1 1:2 2:0.54 3:0.42 4:0.135 5:0.8075 6:0.3485 7:0.1795 8:0.235
1 1:0 2:0.655 3:0.51 4:0.155 5:1.2895 6:0.5345 7:0.2855 8:0.41
1 1:1 2:0.465 3:0.38 4:0.13 5:0.454 6:0.1895 7:0.08 8:0.155
1 1:0 2:0.44 3:0.355 4:0.115 5:0.415 6:0.1585 7:0.0925 8:0.131
1 1:2 2:0.32 3:0.245 4:0.075 5:0.1555 6:0.0585 7:0.038 8:0.049
1 1:1 2:0.555 3:0.425 4:0.18 5:0.875 6:0.3695 7:0.2005 8:0.255
1 1:0 2:0.545 3:0.415 4:0.15 5:0.7335 6:0.2795 7:0.163 8:0.2185
1 1:0 2:0.41 3:0.32 4:0.115 5:0.387 6:0.165 7:0.1005 8:0.0985
1 1:1 2:0.58 3:0.445 4:0.15 5:0.8865 6:0.383 7:0.209 8:0.255
1 1:0 2:0.625 3:0.49 4:0.175 5:1.233 6:0.5565 7:0.247 8:0.365
1 1:1 2:0.47 3:0.345 4:0.115 5:0.4885 6:0.2005 7:0.108 8:0.166
1 1:1 2:0.46 3:0.35 4:0.12 5:0.4885 6:0.193 7:0.105 8:0.155
1 1:2 2:0.455 3:0.35 4:0.12 5:0.4835 6:0.1815 7:0.144 8:0.16
1 1:0 2:0.5 3:0.375 4:0.115 5:0.5945 6:0.185 7:0.148 8:0.19
1 1:2 2:0.315 3:0.25 4:0.09 5:0.203 6:0.0615 7:0.037 8:0.0795
1 1:2 2:0.375 3:0.3 4:0.1 5:0.2465 6:0.104 7:0.0475 8:0.083
1 1:2 2:0.465 3:0.36 4:0.08 5:0.488 6:0.191 7:0.125 8:0.155
1 1:2 2:0.525 3:0.4 4:0.13 5:0.8295 6:0.2405 7:0.1825 8:0.275
1 1:2 2:0.545 3:0.45 4:0.15 5:0.978 6:0.3365 7:0.1905 8:0.3
1 1:0 2:0.53 3:0.455 4:0.165 5:0.9805 6:0.3155 7:0.2815 8:0.2965
1 1:2 2:0.53 3:0.41 4:0.165 5:0.732 6:0.189 7:0.17 8:0.31
1 1:2 2:0.53 3:0.41 4:0.155 5:0.7155 6:0.2805 7:0.1685 8:0.214
1 1:0 2:0.54 3:0.42 4:0.14 5:0.805 6:0.369 7:0.1725 8:0.21
1 1:2 2:0.6 3:0.495 4:0.175 5:1.29 6:0.606 7:0.276 8:0.3445
1 1:0 2:0.625 3:0.49 4:0.2 5:1.3825 6:0.5895 7:0.285 8:0.381
1 1:2 2:0.65 3:0.525 4:0.175 5:1.4715 6:0.675 7:0.315 8:0.399
1 1:0 2:0.685 3:0.54 4:0.16 5:1.6675 6:0.833 7:0.3775 8:0.475
1 1:0 2:0.695 3:0.56 4:0.22 5:1.834 6:0.8455 7:0.422 8:0.455
1 1:2 2:0.525 3:0.4 4:0.14 5:0.7325 6:0.334 7:0.1575 8:0.17
1 1:2 2:0.59 3:0.465 4:0.155 5:1.136 6:0.5245 7:0.2615 8:0.275
1 1:0 2:0.595 3:0.47 4:0.155 5:1.121 6:0.4515 7:0.178 8:0.155
1 1:2 2:0.605 3:0.47 4:0.165 5:1.2315 6:0.6025 7:0.262 8:0.2925
1 1:2 2:0.61 3:0.47 4:0.15 5:1.1625 6:0.565 7:0.258 8:0.3085
1 1:0 2:0.62 3:0.51 4:0.18 5:1.3315 6:0.594 7:0.276 8:0.388
1 1:2 2:0.635 3:0.49 4:0.175 5:1.375 6:0.623 7:0.2705 8:0.395
1 1:2 2:0.645 3:0.52 4:0.175 5:1.636 6:0.779 7:0.342 8:0.432
